,text,label_name
75,@user @user @user \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,anger
76,"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",sadness
77,Noooooo @user without #MaryBerry will be #awful #endofanera going 2b so #lost @user have bought a #lameduck there #notallaboutthemoney,anger
78,"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",joy
79,"@user it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",anger
80,"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",sadness
81,#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,joy
82,God we need a new goal keeper! They’re both horrific.,anger
83,@user Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,sadness
84,"@user if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't",sadness
85,"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",optimism
86,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,sadness
87,I am worried that she felt safe. #unhappy,sadness
88,#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the,anger
89,Nothing worse than an uber driver that can't drive. #awful,anger
90,"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger
91,Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,joy
92,@user u know ion play that shit bout my weary brother,anger
93,@user @user cmode grimrail made me want to eat angry bees,anger
94,Happy Birthday @user #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,joy
95,"@user I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger
96,Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,anger
97,"We're in contained depression. Only new economic engine is #Sustainability, say Joel @user + @user @ #VERGEcon. #NewGrandStrategy",sadness
98,@user &gt; huff louder,sadness
99,"@user lol I thought maybe, couldn't decide if there was levity or not",joy
100,There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,anger
101,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,anger
102,"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",joy
103,"@user 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful",anger
104,"@user @user experience all plays a role in that, it's education and preparedness not fear",optimism
105,"@user appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful",anger
106,Summer officially ends today. #sadness,sadness
107,@user seriously dude buy some bubble tape for your phones. #snap broke another phone,anger
108,@user holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,anger
109,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness
110,Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them,anger
111,Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,anger
112,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,anger
113,I was not made for this world. #empath #unhappy,sadness
114,i'm... nervous about this test rip,sadness
115,Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,joy
116,i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,sadness
117,"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷",sadness
118,I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,joy
119,Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,optimism
120,"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",optimism
121,finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,sadness
122,@user @user don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,anger
123,will brawndo cure my depression? @user #Idiocracytoday,sadness
124,Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,optimism
125,I dislike people who get offended by the littlest shit .,anger
126,@user you look adorable awe,joy
127,New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,anger
128,@user ur road rage gives me anxiety.,anger
129,@user brings back great memories of hilarity on #SATURDAYNIGHTLIVE,joy
130,@user @user my god is @user a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness
131,"significantly, with a #bitter smile, 'let me",anger
132,@user just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do...#sike #losers #terrible,anger
133,@user He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.,joy
134,Need advice on how to get out of this rut!!!!  #needmotivation,optimism
135,in health we did a think about depression and now i feel like i have it,sadness
136,@user It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!,joy
137,Muscled man with huge heart is messing with my brain and heart. #lost #confused,sadness
138,@user @user @user Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,anger
139,@user I'm wearing all black tomorrow to mourn. 😭💔,sadness
140,@user Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,anger
141,"@user *laughs louder this time, shaking my head* That was really cheesy, wasn't it?",joy
142,When my 4yo is gone I blast gothcore music. She has #anxiety &amp; I can't listen 2 it around her bcuz it's 'too spooky'. *sigh* #momlife,sadness
143,@user glee,joy
144,Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power',optimism
145,@user #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process,sadness
146,"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",sadness
147,@user nick fury,anger
148,and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare,sadness
149,@user @user don't get me started on town centre. Used to go every week.... not been for 18 months,sadness
150,"@user both, scrap *ll the rage instead",anger
151,Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,optimism
152,@user wow I'm just really sadden by that. Terrible,sadness
153,I meet new people and I had to grow up with the reality that people can be desgusting and fake and so I lost my cheerfulness and started to,anger
154,Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,sadness
155,These girls who are playful and childlike seem to have such lovely relationships. Can't imagine them having serious convos but it's cute  😍😍,joy
156,"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy
157,Why is it so windy? So glad I didn't ride my bike. #fear #wind,joy
158,"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote",optimism
159,@user @user Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,anger
160,@user @user they're both pretty awful when you look at them historically,anger
161,broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,anger
162,"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",joy
163,@user 'Don't you know how nervous I was to see you?',sadness
164,@user Worst than going to the morgue to do a positive ID. #horrible Reuters,anger
165,@user that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,anger
166,"@user wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and",sadness
167,I'm such a shy girl🙄,sadness
168,mmmm i'm kinda sad i hope i can shake this before school,sadness
169,Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞,joy
170,"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger
171,@user #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,anger
172,Everyone is raging,anger
173,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger
174,@user @user the refs are in GT's favor tonight.,joy
175,NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull,sadness
176,Watch this amazing live.ly broadcast by @user  #musically,joy
177,No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,sadness
178,@user @user Amal Clooney should try to prosecute  #Bush/ #Blair for #war crimes that turned our World upside down&amp;created #terrorism,anger
179,"@user stop the presses, @user said/proposed something racist. #shocking",anger
180,@user \nIsn't OBrien supposed to be some sort of offensive genius,anger
181,Good morning chirpy #SpringEquinox and your pensive sister #AutumnEquinox A perfect day however it is expressed 🌹🍁🌓☯️ #theBeautyofBalance,joy
182,"@user do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",sadness
183,I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,optimism
184,Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @user ❤️,joy
185,@user you came in at silly o'clock and woke me up that's what happened #wasted #fuming,anger
186,@user @user the gleesome threesome,joy
187,@user I think you should do. Get the fashion police involved. #shocking,anger
188,Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,sadness
189,@user relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,anger
190,@user Thank you for follow and its a good website you have and cheering with no hassle.,joy
191,@user people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists Namjoon,joy
192,"When something makes you excited, terrified, thrilled, nervous, elated &amp; like you've been kicked in the guts all at once. Need word for that",joy
193,@user that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through,joy
194,@user @user But I decided to be a bit lackadaisical about getting dressed to get groceries.,joy
195,"@user optimism is he'll lose, that's actually a compromise :P",optimism
196,@user \n'It's alright!' She said cheerfully trying to make the moment fun,joy
197,@user they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,anger
198,Ppl like that irritate my soul,anger
199,@user at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,optimism
200,Now that @user has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival,joy
201,@user He's just too raging to type properly... Ha ha!,anger
202,Pakistan continues to treat #terror as a matter of state policy says @user #UriAttack,anger
203,i have so much hair it's a nightmare but it's also very soft so it guess it's a win-lose situation,optimism
204,@user @user whatever Sam is holding on your tee looks like it's got a droop on 😂,joy
205,"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness",sadness
206,The Pats are awesome. Belichick is awesome ...they just are.,joy
207,"Don't join @user they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly!",anger
208,@user @user @user @user Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,sadness
209,"@user No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create #BlackLivesmatter",anger
210,HMS Pinafore' time.\n\nI need some mirth.,joy
211,Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,sadness
212,"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",sadness
213,"Turkish exhilaration: for a 30% shade off irruptive russian visitors this twelvemonth, gobbler is nephalism so...",joy
214,When will the weeks full of Mondays end?? #disheartened,sadness
215,"@user I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack #bully",anger
216,@user way to go #London. Nice job electing a #muslim #jihadist for mayor. Good luck with your future #terror attacks #sadiqkhan,sadness
217,Pull over #tonight and make your car #shake 😋💦,joy
218,Feeling #gloomy,sadness
219,"B day next week, catch the sauce and watch the heaviness!",joy
220,"Carry on my wayward son, there'll be peace when you are done. Lay your weary head to rest. Don't you cry no more. #Supernatural",optimism
221,@user  cyber bully,anger
222,@user I found the first few episodes of Bojack incredibly funny. Then it got less funny but I stayed for the #drama,joy
223,10 page script due Friday for class. Who said I could do this MFA thing?  #GradSchoolProblems #someonetelltinafeytohireme,joy
224,Riggs dumb ass hell lolol #hilarious #LethalWeapon,joy
225,@user bully,anger
226,India should now react to the uri attack..... #revenge,anger
227,"Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest #happy",joy
228,@user where is the outrage when black children get killed in the crossfire between blacks shooting each other?,anger
229,@user a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,anger
230,@user watched the cobblers loads this season how is gorre a pro footballler terrible,anger
231,Putin feels it acceptable to bomb &amp; kill aid workers. Soon he may be sitting at the same table as Trump!! #Armageddon #USApleasedont,anger
232,Why do people gotta start so much drama ? Shoot me ☹️,anger
233,Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?,anger
234,nooooo. Poor Blue Bell! not again. #sad,sadness
235,"@user @user #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",optimism
236,"@user I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger
237,"If you think you're good to go already, don't worry about it.",optimism
238,"Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter",anger
239,The bounty hunter things a bit lively,joy
240,That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous 😥😥,sadness
241,@user Supine on the piano—lips parted. #sixwordstory #amwriting #blues #singer,joy
242,@user thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6,sadness
243,Always borrow money from a pessimist; he doesn't expect to be paid back.,optimism
244,7 pax enjoyed the #gloom @user @user,joy
245,Condolences to the  JC and the Georges family..,sadness
246,"@user snap, seems to be a problem here",anger
247,@user \nLikewise #death #cutting #despair,sadness
248,They gonna give this KKk police bitch the minimum sentence..just wattch,anger
249,I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness
250,#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs 🙄😠,anger
251,#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz,anger
252,"Dehydrated, exhausted, stressed but still blessed. #optimism",optimism
253,US you need to band together not apart #nevertrump he promotes hatred and fuels,anger
254,@user it's fucking dreadful for live footy matches,anger
255,"@user @user \nbecause distrust in life , Argentina has a lot of heart and this President is worth every vote.",optimism
256,She's foaming at the lips the one between her hips @user one of many great lyrics,joy
257,"@user I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",sadness
258,@user @user @user @user @user I understand your concerns but look at her foundation contributions,anger
259,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @user I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger
260,Fake people irritate me,anger
261,"@user #FMF protesters aren't interested in reasoned debate, just #intimidation #violence &amp; #disruption to get demands met",anger
262,Lunatic Asylum: The place where optimism most flourishes.,optimism
263,Damn gud #premiere #LethalWeapon...#funny and #serious,joy
264,@user @user all the bully,anger
265,It appears my fire alarm disapproves of my cooking style,sadness
266,We're going to get City in the next round for a revenge.,anger
267,"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",anger
268,"@user I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",joy
269,"Petition for non-Maghrebi PoC to stop buying 'couscous' from white grocery stores and boiling it. That is not couscous, that is trash.",anger
270,"@user Thank you, happy birthday to you as well!",joy
271,Watch this amazing live.ly broadcast by @user  #musically,joy
272,"@user We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",joy
273,Dear @user please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming 😡,anger
274,alternate reality where @user has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,sadness
275,"@user May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. #revenge",anger
276,I highly suggest if you are looking online for a company to help you send you're package overseas..DO NOT EVER EVER USE @user,anger
277,"She began to squirm beneath @user struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",sadness
278,"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy
279,@user @user I was so looking forward to @user Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage,anger
280,something about opening mail is just...very pleasing,joy
281,When you have 15 doe run the opposite side of you 🙁 #depression,sadness
282,@user you and that awful music can take a walk... right off a cliff. K. 😘,anger
283,Day 9 and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:,joy
284,"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-",optimism
285,@user don't think Ian knew of Pavel. He knew about Charlie. I bet Rob will cackle with glee when he heard what has happened #thearchers,joy
286,@user maybe he had constipation issues..? Not that I KNOW dates relieve such an affliction! No way jose!,joy
287,"@user Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger
288,@user lost my xt nova around hole 8 or 9 #sadness,sadness
289,At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror.,anger
290,"AQW should've always stayed in the 08 art style, now it's just a competition to create more detailed art each time.",joy
291,@user Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger
292,@user @user @user Kirby's Black Panther in a cool animated panel.,joy
293,You can't fight the elephants until you have wrestled the pigs. #quoteoftheday,optimism
294,... flat party and I instantly get bollocked about it. #fuming,anger
295,"@user Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",sadness
296,@user #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @user #core246 #lilylou #fret &amp; #benoakley,joy
297,"@user awe man, when are you free then? ☹️️☹️️☹️️💘💘💘",sadness
298,@user wanna shake my tree??? 🍑🍑🍑🍑,joy
299,@user he is.\nSure his mind was clouded but...],sadness
300,@user now you gotta do that with fast n furious,anger
301,Ffs 🙈 when things come back to haunt you... cringe bad cringe 🙋🏼👀🔫 👈 what a terrible gun that is,anger
302,Never let me see you frown,anger
303,"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @user",anger
304,#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic,anger
305,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger
306,#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,sadness
307,I honestly feel nothing towards either of my parents and it's pretty depressing,sadness
308,If I could turn anxiety off--I would. #nooneunderstands,sadness
309,@user (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.),anger
310,Karev better not be out!!! Or I am seriously done DONE with @user  #angry #unfair #ugh,anger
311,"But 'for me not to worry, they'll get a glass guy over and bill us for it'",optimism
312,@user now I'm really excited for November! Hope they're not all horrid chavs though 😅,joy
313,@user having a terrific game and not at all fazed #MCFC,joy
314,@user @user @user I threaten you because I can pussy,anger
315,@user fucked my coupon that goal!,anger
316,Reflection: the grind has been so REAL! Working 2 jobs &amp; being in school. #ksudsm #ksu #recruiter #instructor #tumble #cheer #gradschool,joy
317,"Aberdeen st Johnstone, let's see who can punt it the furthest #awful",anger
318,@user A stumbling block to the pessimist is a stepping stone to the optimist.,optimism
319,Listening to Joey really helps me and my anger.,optimism
320,"@user The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.",sadness
321,Another joyful encounter in Tribez &amp; Castlez! I just met Bartolomeo! Do you want to know who that is? Download the game and find out!,joy
322,@user @user @user yes exactly &amp; he's sold out this country to #terror while #lying to cover it up,anger
323,"Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.",sadness
324,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter.,anger
325,The Pats are awesome. Belichick is awesome ...they just are. #awestruck,joy
326,David Gilmour's biggest compliment? B.B. King asked him after a gig if he was born in Mississippi #pinkfloyd #theblues #davidgilmour #blues,joy
327,I seriously hope these chances Celtic are missing are going to come back to haunt them with an Alloa sucker punch,anger
328,I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,anger
329,After she threw me out I had to sedate her. With a damn horse tranquilizer.',anger
330,@user I was like that when I started college. It was horrific but it probably will get better. Don't give up yet,optimism
331,"@user @user Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?",anger
332,"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells",anger
333,Howl at the moon with @user at @user next Wednesday the 28th for a FREE double feature of SILVER BULLET and CURSED #horror,sadness
334,"Two blankets, a hoody, and still no Eternal Sunshine to mope to.",sadness
335,India wants to #shake #hands with # pakistan ..... but as usual pakistan #cheat with every #indian \n\n..........shameless pakistan,anger
336,@user The depth that you've sunk to. You're readership deserves more.,anger
337,@user That was exhilarating hockey. They're still out if Russia wins in regulation I'm reading. #fuck,anger
338,I wish you stayed in Da Gump I'll make you panic like the last rapper,anger
